key,english,kiswahili_for_reference,Gikuyu_draft,Gikuyu_corrected,ok_as_is
appTagline,Your VSLA in your pocket,VSLA yako mfukoni mwako,VSLA yaku mũthithũ-inĩ waku,,
navDashboard,Dashboard,Muhtasari,Mũhũthũ,,
navMeetings,Meetings,Mikutano,Mĩcemanio,,
navMembers,Members,Wanachama,Amemba,,
navLoans,Loans,Mikopo,Mĩkopo,,
navMore,More,Zaidi,Mangĩ,,
welcomeTitle,Welcome to Intelli-Cash,Karibu Intelli-Cash,Wamũkĩro Intelli-Cash,,
welcomeCreateAccountPrompt,Create your account to get started.,Fungua akaunti yako ili uanze.,Ambĩrĩria na gũthondeka akaũnti yaku.,,
welcomeAccountReady,Your account is ready.,Akaunti yako iko tayari.,Akaũnti yaku nĩ yehaarĩirie.,,
createAccount,Create Account,Fungua Akaunti,Thondeka Akaũnti,,
createAccountSubtitle,"New here? Set up an account for your group, yourself, or your work as an agent.","Ni mara yako ya kwanza? Fungua akaunti ya kikundi chenu, yako binafsi, au ya kazi yako kama wakala.","Nĩ mbere yaku? Thondeka akaũnti ya gĩkundi kĩanyu, yaku we mwene, kana ya wĩra waku ta mũrũgamĩrĩri.",,
signIn,Sign In,Ingia,Toonya,,
signInSubtitle,I already have an Intelli-Cash account.,Tayari nina akaunti ya Intelli-Cash.,Ndĩ na akaũnti ya Intelli-Cash.,,
signOut,Sign out,Toka,Uma,,
signedInAs,Signed in as {name}.,Umeingia kama {name}.,Wĩtoonyetie ta {name}.,,
setUpGroup,Set up my group on this phone,Sajili kikundi changu kwenye simu hii,Thondeka gĩkundi gĩakwa thimũ-inĩ ĩno,,
setUpGroupSubtitle,"Keep your group's savings, loans and meetings — works without internet once set up.","Weka akiba, mikopo na mikutano ya kikundi chenu — hufanya kazi bila intaneti baada ya kusajili.","Iga ũigi, mĩkopo na mĩcemanio ya gĩkundi kĩanyu — nĩ ĩrutaga wĩra o na hatarĩ ĩntaneti.",,
whoIsThisAccountFor,Who is this account for?,Akaunti hii ni ya nani?,Akaũnti ĩno nĩ ya ũ?,,
pickOneLater,Pick one — you can always add more accounts later.,Chagua moja — unaweza kuongeza akaunti nyingine baadaye.,Thuura ĩmwe — no wongerere ingĩ thutha-inĩ.,,
accountTypeGroup,Our Group,Kikundi Chetu,Gĩkundi Gĩitũ,,
