key,english,kiswahili_for_reference,Dholuo_draft,Dholuo_corrected,ok_as_is
appTagline,Your VSLA in your pocket,VSLA yako mfukoni mwako,Riwruok mari e mfukoni mari,,
navDashboard,Dashboard,Muhtasari,Kama Iyudo Weche,,
navMeetings,Meetings,Mikutano,Chokruoge,,
navMembers,Members,Wanachama,Jomembe,,
navLoans,Loans,Mikopo,Hola,,
navMore,More,Zaidi,Mamoko,,
welcomeTitle,Welcome to Intelli-Cash,Karibu Intelli-Cash,Warahao e Intelli-Cash,,
welcomeCreateAccountPrompt,Create your account to get started.,Fungua akaunti yako ili uanze.,Los akaunt mari mondo ichak.,,
welcomeAccountReady,Your account is ready.,Akaunti yako iko tayari.,Akaunt mari oikore.,,
createAccount,Create Account,Fungua Akaunti,Los Akaunt,,
createAccountSubtitle,"New here? Set up an account for your group, yourself, or your work as an agent.","Ni mara yako ya kwanza? Fungua akaunti ya kikundi chenu, yako binafsi, au ya kazi yako kama wakala.","In ngʼat manyien? Los akaunt mar riwruok mau, mari iwuon, kata mar tijni kaka jakony.",,
signIn,Sign In,Ingia,Donji,,
signInSubtitle,I already have an Intelli-Cash account.,Tayari nina akaunti ya Intelli-Cash.,An-gi akaunt mar Intelli-Cash.,,
signOut,Sign out,Toka,Wuok,,
signedInAs,Signed in as {name}.,Umeingia kama {name}.,Isedonjo kaka {name}.,,
setUpGroup,Set up my group on this phone,Sajili kikundi changu kwenye simu hii,Los riwruok mara e simu ni,,
setUpGroupSubtitle,"Keep your group's savings, loans and meetings — works without internet once set up.","Weka akiba, mikopo na mikutano ya kikundi chenu — hufanya kazi bila intaneti baada ya kusajili.","Kan pesa mokan, hola kod chokruoge mag riwruok mau — otiyo kata ka onge intanet.",,
whoIsThisAccountFor,Who is this account for?,Akaunti hii ni ya nani?,Akaunt ni en mar ngʼa?,,
pickOneLater,Pick one — you can always add more accounts later.,Chagua moja — unaweza kuongeza akaunti nyingine baadaye.,Yier achiel — inyalo medo mamoko bangʼe.,,
accountTypeGroup,Our Group,Kikundi Chetu,Riwruok Marwa,,
accountTypeGroupSubtitle,"This phone will keep our group's savings, loans and meetings.","Simu hii itatunza akiba, mikopo na mikutano ya kikundi chetu.","Simu ni ema biro kano pesa, hola kod chokruoge mag riwruok marwa.",,
accountTypeMember,Just Me,Mimi Peke Yangu,An Kenda,,
accountTypeMemberSubtitle,"I want to see my own savings, shares and loans.","Nataka kuona akiba, hisa na mikopo yangu.","Adwaro neno pesa mokan, hisa kod hola maga.",,
accountTypeAgent,Field Agent,Wakala wa Ugani,Jakony mar Gwengʼ,,
accountTypeAgentSubtitle,Village Agent or CBT — I support and monitor several groups.,Wakala wa Kijiji au CBT — nasaidia na kufuatilia vikundi kadhaa.,Jakony mar Gwengʼ kata CBT — akonyo kendo aneno riwruoge mangʼeny.,,
change,Change,Badilisha,Lok,,
groupNameLabel,Group name,Jina la kikundi,Nying riwruok,,
yourFullName,Your full name,Jina lako kamili,Nyingi machielo duto,,
phoneNumber,Phone number,Nambari ya simu,Namba mar simu,,
password,Password,Nenosiri,Wach mopondo,,
passwordHint,At least 6 characters — keep it secret.,Angalau herufi 6 — liweke siri.,Nyaka bed gi otonge 6 kata mokalo — kane opondo.,,
repeatPassword,Repeat password,Rudia nenosiri,Nwo wach mopondo,,
emailOptional,Email (optional),Barua pepe (si lazima),Baruwa mar intanet (ok ochuno),,
countyOptional,County (optional),Kaunti (si lazima),Kaunti (ok ochuno),,
createMyAccount,Create My Account,Fungua Akaunti Yangu,Los Akaunt Mara,,
creatingAccount,Creating account…,Inafungua akaunti…,Ilosi akaunt…,,
registerNeedsInternet,Creating an account needs an internet connection. Your phone number is your sign-in.,Kufungua akaunti kunahitaji intaneti. Nambari yako ya simu ndiyo utakayotumia kuingia.,Loso akaunt dwaro intanet. Namba mar simu mari ema ikonyorego donjo.,,
welcomeBack,Welcome back,Karibu tena,Warahao kendo,,
signInWithPhone,Sign in with your phone number and password.,Ingia kwa nambari yako ya simu na nenosiri.,Donji gi namba mar simu mari kod wach mopondo.,,
phoneOrEmail,Phone number or email,Nambari ya simu au barua pepe,Namba mar simu kata baruwa mar intanet,,
signingIn,Signing in…,Inaingia…,Idonjo…,,
sessionNote,Your session lasts 8 hours. The group's record book keeps working offline once you are signed in.,Kipindi chako hudumu saa 8; daftari la nje ya mtandao huendelea kufanya kazi bila kuingia tena.,Kindeni kawo seche 8. Bug riwruok medo tiyo kata ka onge intanet bangʼ donjo.,,
sectionGroup,Group,Kikundi,Riwruok,,
sectionReports,Reports,Ripoti,Ripot,,
sectionEndOfCycle,End of cycle,Mwisho wa mzunguko,Giko mar ndalo mar kano,,
sectionCloudBackup,Cloud & backup,Wingu na hifadhi,Bor kod kano,,
sectionAppearance,Appearance,Muonekano,Kite monenore,,
sectionLanguage,Language,Lugha,Dhok,,
sectionAbout,About,Kuhusu,Kuom,,
groupSettings,Group Settings,Mipangilio ya Kikundi,Chenro mar Riwruok,,
groupSettingsSubtitle,"Savings, loans and meeting days","Akiba, mikopo na siku za mikutano","Pesa mokan, hola kod odiechienge mag chokruok",,
meetingSecurity,Meeting Security,Usalama wa Mkutano,Rito mar Chokruok,,
memberAccounts,Member Accounts,Akaunti za Wanachama,Akaunt mag Jomembe,,
memberAccountsSubtitle,Let members get their own sign-in to see their savings,Ruhusu wanachama wapate akaunti zao kuona akiba zao,Yie mondo jomembe oyud akaunt mag-gi mondo one pesa mag-gi,,
groupRules,Group Rules,Sheria za Kikundi,Chike mag Riwruok,,
groupReport,Group Report,Ripoti ya Kikundi,Ripot mar Riwruok,,
groupReportSubtitle,"Money, members and meetings — share text or PDF","Pesa, wanachama na mikutano — tuma maandishi au PDF","Pesa, jomembe kod chokruoge — or ndiko kata PDF",,
memberReports,Member Reports,Ripoti za Wanachama,Ripot mag Jomembe,,
memberReportsSubtitle,A statement for each member — share text or PDF,Taarifa ya kila mwanachama — tuma maandishi au PDF,Weche mag jamembe ka jamembe — or ndiko kata PDF,,
shareOut,Share-Out,Mgao wa Mwisho,Pogruok,,
shareOutSubtitle,Share the group fund back to members,Gawa pesa za kikundi kwa wanachama,Pog pesa mag riwruok ne jomembe,,
cloudAccount,Cloud Account,Akaunti ya Wingu,Akaunt mar Bor,,
syncBackup,Sync & Backup,Sawazisha na Hifadhi,Riwo kod Kano,,
intelliStores,Intelli-Stores,Intelli-Stores,Intelli-Stores,,
language,Language,Lugha,Dhok,,
languageSubtitle,Choose the language for this phone,Chagua lugha ya simu hii,Yier dhok mar simu ni,,
languageNeedsReview,"Every screen is translated, but a speaker of this language has not checked the wording yet. If something reads wrongly, please tell us — you can switch back to English or Kiswahili at any time.","Kila skrini imetafsiriwa, lakini mzungumzaji wa lugha hii bado hajakagua maneno. Kama kitu hakisomeki vizuri, tuambie — unaweza kurudi kwa Kiingereza au Kiswahili wakati wowote.","Kama ineno duto oselok, to ngʼat mawacho dhokni pok onono weche. Ka gimoro ok somre maber, nyiswa — inyalo dok e Kingereza kata Kiswahili sa asaya.",,
shareTextButton,Share Text,Tuma Maandishi,Or Ndiko,,
back,Back,Rudi,Duogi,,
cancel,Cancel,Ghairi,We,,
signedOut,Signed out.,Umetoka.,Isewuok.,,
