key,english,kiswahili_for_reference,Gikuyu_translation
appTagline,Your VSLA in your pocket,VSLA yako mfukoni mwako,
welcomeCreateAccountPrompt,Create your account to get started.,Fungua akaunti yako ili uanze.,
welcomeAccountReady,Your account is ready.,Akaunti yako iko tayari.,
createAccount,Create Account,Fungua Akaunti,
createAccountSubtitle,"New here? Set up an account for your group, yourself, or your work as an agent.","Ni mara yako ya kwanza? Fungua akaunti ya kikundi chenu, yako binafsi, au ya kazi yako kama wakala.",
signInSubtitle,I already have an Intelli-Cash account.,Tayari nina akaunti ya Intelli-Cash.,
signedInAs,Signed in as {name}.,Umeingia kama {name}.,
setUpGroup,Set up my group on this phone,Sajili kikundi changu kwenye simu hii,
setUpGroupSubtitle,"Keep your group's savings, loans and meetings — works without internet once set up.","Weka akiba, mikopo na mikutano ya kikundi chenu — hufanya kazi bila intaneti baada ya kusajili.",
whoIsThisAccountFor,Who is this account for?,Akaunti hii ni ya nani?,
pickOneLater,Pick one — you can always add more accounts later.,Chagua moja — unaweza kuongeza akaunti nyingine baadaye.,
accountTypeGroup,Our Group,Kikundi Chetu,
accountTypeGroupSubtitle,"This phone will keep our group's savings, loans and meetings.","Simu hii itatunza akiba, mikopo na mikutano ya kikundi chetu.",
accountTypeMember,Just Me,Mimi Peke Yangu,
accountTypeMemberSubtitle,"I want to see my own savings, shares and loans.","Nataka kuona akiba, hisa na mikopo yangu.",
accountTypeAgent,Field Agent,Wakala wa Ugani,
accountTypeAgentSubtitle,Village Agent or CBT — I support and monitor several groups.,Wakala wa Kijiji au CBT — nasaidia na kufuatilia vikundi kadhaa.,
change,Change,Badilisha,
yourFullName,Your full name,Jina lako kamili,
password,Password,Nenosiri,
passwordHint,At least 6 characters — keep it secret.,Angalau herufi 6 — liweke siri.,
repeatPassword,Repeat password,Rudia nenosiri,
emailOptional,Email (optional),Barua pepe (si lazima),
countyOptional,County (optional),Kaunti (si lazima),
createMyAccount,Create My Account,Fungua Akaunti Yangu,
creatingAccount,Creating account…,Inafungua akaunti…,
registerNeedsInternet,Creating an account needs an internet connection. Your phone number is your sign-in.,Kufungua akaunti kunahitaji intaneti. Nambari yako ya simu ndiyo utakayotumia kuingia.,
welcomeBack,Welcome back,Karibu tena,
signInWithPhone,Sign in with your phone number and password.,Ingia kwa nambari yako ya simu na nenosiri.,
phoneOrEmail,Phone number or email,Nambari ya simu au barua pepe,
signingIn,Signing in…,Inaingia…,
sessionNote,Your session lasts 8 hours. The group's record book keeps working offline once you are signed in.,Kipindi chako hudumu saa 8; daftari la nje ya mtandao huendelea kufanya kazi bila kuingia tena.,
sectionEndOfCycle,End of cycle,Mwisho wa mzunguko,
sectionCloudBackup,Cloud & backup,Wingu na hifadhi,
sectionAppearance,Appearance,Muonekano,
sectionAbout,About,Kuhusu,
groupSettings,Group Settings,Mipangilio ya Kikundi,
groupSettingsSubtitle,"Savings, loans and meeting days","Akiba, mikopo na siku za mikutano",
meetingSecurity,Meeting Security,Usalama wa Mkutano,
memberAccounts,Member Accounts,Akaunti za Wanachama,
memberAccountsSubtitle,Let members get their own sign-in to see their savings,Ruhusu wanachama wapate akaunti zao kuona akiba zao,
groupRules,Group Rules,Sheria za Kikundi,
groupReport,Group Report,Ripoti ya Kikundi,
groupReportSubtitle,"Money, members and meetings — share text or PDF","Pesa, wanachama na mikutano — tuma maandishi au PDF",
memberReports,Member Reports,Ripoti za Wanachama,
memberReportsSubtitle,A statement for each member — share text or PDF,Taarifa ya kila mwanachama — tuma maandishi au PDF,
shareOut,Share-Out,Mgao wa Mwisho,
shareOutSubtitle,Share the group fund back to members,Gawa pesa za kikundi kwa wanachama,
cloudAccount,Cloud Account,Akaunti ya Wingu,
syncBackup,Sync & Backup,Sawazisha na Hifadhi,
intelliStores,Intelli-Stores,Intelli-Stores,
languageSubtitle,Choose the language for this phone,Chagua lugha ya simu hii,
languageNeedsReview,This translation is still being checked by native speakers. Anything not yet translated shows in English.,Tafsiri hii bado inakaguliwa na wazungumzaji wa lugha hii. Maneno ambayo hayajatafsiriwa yataonekana kwa Kiingereza.,
shareTextButton,Share Text,Tuma Maandishi,
signedOut,Signed out.,Umetoka.,
signOutKeepsRecords,"Your group's savings, loans and meetings stay saved on this phone, but nobody can open them until you sign in again. Your phone number will be remembered.","Akiba, mikopo na mikutano ya kikundi chenu vitabaki vimehifadhiwa kwenye simu hii, lakini hakuna atakayeweza kuvifungua hadi uingie tena. Nambari yako ya simu itakumbukwa.",
signOutMemberNote,You will need to sign in again to see your savings. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona akiba yako. Nambari yako ya simu itakumbukwa.,
signOutAgentNote,You will need to sign in again to see your groups. Your phone number will be remembered.,Utahitaji kuingia tena ili kuona vikundi vyako. Nambari yako ya simu itakumbukwa.,
whoIsSigningIn,Who is signing in?,Nani anaingia?,
whoIsSigningInSubtitle,"Choose the kind of account you use, then enter your phone number and password.","Chagua aina ya akaunti unayotumia, kisha weka nambari yako ya simu na nenosiri.",
welfareRecordThisPayment,Record this payment?,Rekodi malipo haya?,
welfareRecordPayment,Record payment,Rekodi malipo,
welfareCouldNotLoadTheWelfare,Could not load the welfare fund.,Imeshindwa kupakia mfuko wa jamii.,
welfareLeftInTheWelfareFund,Left in the welfare fund,Kilichobaki kwenye mfuko wa jamii,
welfareRecordAWelfarePayment,Record a welfare payment,Rekodi malipo ya jamii,
welfarePaidOutThisCycle,Paid out this cycle,Kilicholipwa mzunguko huu,
welfareNothingPaidOutYetThe,Nothing paid out yet — the whole welfare fund will be shared.,Hakuna kilicholipwa bado — mfuko wote wa jamii utagawanywa.,
welfareRecordedInMeeting,Recorded in meeting,Imerekodiwa kwenye mkutano,
welfareWhatFor,What for,Kwa ajili gani,
welfarePaidTo,Paid to,Amelipwa,
welfareAMemberAFamilyOr,"A member, a family, or a hospital — whoever received it","Mwanachama, familia au hospitali — yeyote aliyepokea",
welfareNoteOptional,Note (optional),Maelezo (si lazima),
meetingHubEditAttendance,Edit attendance,Badilisha mahudhurio,
meetingHubCloseLockMeeting,Close & Lock Meeting,Funga na Ufunge Mkutano,
meetingHubClosingLocksAllRecordsPermanently,Closing locks all records permanently.,Kufunga hufunga rekodi zote milele.,
meetingHubKeepOpen,Keep Open,Acha Wazi,
meetingHubCloseLock,Close & Lock,Funga na Ufunge,
meetingHubShareRecords,Share Records,Rekodi za Hisa,
meetingHubIntelliStore,Intelli-Store,Intelli-Store,
groupSetupWizardAddTheMembersJoiningThis,Add the members joining this cycle. You can always add more later.,Ongeza wanachama wanaojiunga na mzunguko huu. Unaweza kuongeza wengine baadaye.,
groupSetupWizardEveryoneBuysSharesAtOne,Everyone buys shares at one fixed price,Kila mtu ananunua hisa kwa bei moja isiyobadilika,
groupSetupWizardMembersSaveWhatTheyCan,Members save what they can each meeting,Wanachama huweka akiba kadri wawezavyo kila mkutano,
groupSetupWizardCycleNumber,Cycle Number,Namba ya Mzunguko,
groupSetupWizardWhichSavingsCycleIsThis,Which savings cycle is this group on?,Kikundi hiki kiko kwenye mzunguko upi wa akiba?,
groupSetupWizardShareValueKsh,Share Value (KSh),Thamani ya Hisa (KSh),
groupSetupWizardMaxSharesPerMeeting,Max Shares per Meeting,Hisa za Juu Kila Mkutano,
