key,english,kiswahili_for_reference,Kiembu_draft,Kiembu_corrected,ok_as_is
appTagline,Your VSLA in your pocket,VSLA yako mfukoni mwako,VSLA yaku muthithu-ini waku,,
navDashboard,Dashboard,Muhtasari,Dashboard,,
navMeetings,Meetings,Mikutano,Micemanio,,
navMembers,Members,Wanachama,Amemba,,
navLoans,Loans,Mikopo,Mikopo,,
navMore,More,Zaidi,Mangi,,
welcomeTitle,Welcome to Intelli-Cash,Karibu Intelli-Cash,Wamukiro Intelli-Cash,,
welcomeCreateAccountPrompt,Create your account to get started.,Fungua akaunti yako ili uanze.,Ambiriria na guthondeka akaunti yaku.,,
welcomeAccountReady,Your account is ready.,Akaunti yako iko tayari.,Akaunti yaku ni yehaariirie.,,
createAccount,Create Account,Fungua Akaunti,Thondeka Akaunti,,
createAccountSubtitle,"New here? Set up an account for your group, yourself, or your work as an agent.","Ni mara yako ya kwanza? Fungua akaunti ya kikundi chenu, yako binafsi, au ya kazi yako kama wakala.","Ni mbere yaku? Thondeka akaunti ya gikundi kianyu, yaku we mwene, kana ya wira waku ta murugamiriri.",,
signIn,Sign In,Ingia,Toonya,,
signInSubtitle,I already have an Intelli-Cash account.,Tayari nina akaunti ya Intelli-Cash.,Ndi na akaunti ya Intelli-Cash.,,
signOut,Sign out,Toka,Uma,,
signedInAs,Signed in as {name}.,Umeingia kama {name}.,Witoonyetie ta {name}.,,
setUpGroup,Set up my group on this phone,Sajili kikundi changu kwenye simu hii,Thondeka gikundi giakwa thimu-ini ino,,
setUpGroupSubtitle,"Keep your group's savings, loans and meetings — works without internet once set up.","Weka akiba, mikopo na mikutano ya kikundi chenu — hufanya kazi bila intaneti baada ya kusajili.","Iga uigi, mikopo na micemanio ya gikundi kianyu — ni irutaga wira o na hatari intaneti.",,
whoIsThisAccountFor,Who is this account for?,Akaunti hii ni ya nani?,Akaunti ino ni ya u?,,
